time,latitude,longitude,depth,mag,Year
2023-02-14T01:56:32.424Z,36.781,36.1142,10,4.2,2023
2023-02-13T19:20:27.970Z,38.0051,36.42,7.437,4.6,2023
2023-02-13T15:15:05.178Z,37.8703,36.2865,10,4.2,2023
2023-02-13T14:28:17.684Z,38.0402,38.589,13.42,4.3,2023
2023-02-13T11:59:17.459Z,36.8844,36.6204,11.34,4.5,2023
2023-02-12T22:52:59.819Z,38.0251,36.6342,10,4.3,2023
2023-02-12T22:02:06.488Z,36.0389,35.8488,10,4,2023
2023-02-12T21:21:34.902Z,36.5999,36.8854,10,4.4,2023
2023-02-12T19:02:29.312Z,37.2623,37.0849,10,4.3,2023
2023-02-12T18:33:14.268Z,37.3429,36.9989,9.339,4.7,2023
2023-02-12T17:28:17.826Z,38.083,36.6197,10,4.1,2023
2023-02-12T16:29:49.826Z,38.824,38.031,10,5,2023
2023-02-12T14:30:03.956Z,37.8149,36.7003,10,4.4,2023
2023-02-12T13:29:14.627Z,37.9679,38.2961,10,4.6,2023
2023-02-12T12:25:22.576Z,36.7991,36.7677,4.27,4.2,2023
2023-02-12T10:00:25.592Z,38.1339,38.2786,16.771,4.1,2023
2023-02-12T09:32:23.493Z,36.1158,36.3017,10,4.2,2023
2023-02-12T08:14:10.398Z,38.0797,37.3193,7.67,4.4,2023
2023-02-12T07:12:36.425Z,35.5279,35.6189,10,4.1,2023
2023-02-12T06:15:23.782Z,38.1156,38.5843,8.654,4,2023
2023-02-12T04:52:59.139Z,37.9055,37.4792,10,4.1,2023
2023-02-12T04:29:14.767Z,37.796,38.2326,10,4.3,2023
2023-02-11T23:30:56.494Z,38.0249,36.4218,10,4.1,2023
2023-02-11T22:29:15.692Z,36.6384,36.5737,10,4.3,2023
2023-02-11T20:39:04.780Z,37.7557,37.8675,11.351,4.3,2023
2023-02-11T17:50:16.285Z,38.1325,38.732,2.958,4.3,2023
2023-02-11T17:20:01.540Z,36.268,36.171,10,4.3,2023
2023-02-11T14:38:03.890Z,37.9428,36.5034,10,4.4,2023
2023-02-11T13:09:59.585Z,38.8519,38.0757,10,4.5,2023
2023-02-11T12:54:58.944Z,38.0902,36.6163,8.66,4.1,2023
2023-02-11T11:59:53.865Z,37.8492,36.67,8.739,4.2,2023
2023-02-11T11:51:41.073Z,36.4869,36.3096,5.36,4.4,2023
2023-02-11T11:05:17.347Z,38.1233,36.6274,13.853,4.3,2023
2023-02-11T09:03:36.465Z,38.0281,38.1329,4.448,4.3,2023
2023-02-11T07:55:41.897Z,37.0598,36.95,4.748,4.6,2023
2023-02-11T06:28:13.163Z,38.0647,36.5778,8.106,4.6,2023
2023-02-11T06:06:23.849Z,37.9256,38.192,10,4,2023
2023-02-11T04:47:04.418Z,37.8165,36.5708,10,4.3,2023
2023-02-11T03:38:24.893Z,37.9489,38.4382,10.26,4.2,2023
2023-02-11T00:24:43.131Z,36.5556,36.5606,10,4.1,2023
2023-02-10T20:12:47.019Z,38.0517,38.5848,10,4.2,2023
2023-02-10T17:31:24.653Z,38.1788,38.5981,4.258,4.1,2023
2023-02-10T17:00:51.366Z,37.8868,36.2951,2.087,4.7,2023
2023-02-10T10:01:20.828Z,38.1976,38.1375,10,4.4,2023
2023-02-10T09:02:49.022Z,38.0757,38.1756,7.345,4.3,2023
2023-02-10T08:17:28.909Z,35.0684,35.2669,10,4.3,2023
2023-02-10T04:50:24.791Z,38.1736,38.1714,10,4.7,2023
2023-02-10T02:03:42.954Z,38.1343,38.2167,10,4.4,2023
2023-02-10T01:50:59.593Z,37.8685,36.631,5.225,4.3,2023
2023-02-09T22:06:39.635Z,36.9628,36.7,10,4.2,2023
2023-02-09T21:46:29.508Z,37.1694,36.8496,10,4.2,2023
2023-02-09T19:37:46.503Z,38.0264,36.6096,10,4.1,2023
2023-02-09T18:49:36.565Z,36.1764,35.7977,10,4.2,2023
