latitude,longitude,depth,mag,Timestamp,Year
38.1827,37.7538,10,4.5,1675694517,2023
38.0365,37.8572,10,4.5,1675693987,2023
37.9977,36.4927,10,4.7,1675693797,2023
36.8097,36.5387,10,4.5,1675693663,2023
37.8654,37.3406,21.4,4.4,1675693038,2023
37.7257,37.385,10,4.5,1675692609,2023
37.9944,36.4533,10,4.4,1675692289,2023
38.2218,37.8545,10,4.3,1675692188,2023
38.0588,36.4642,10,4.3,1675691930,2023
37.9405,37.4916,16.9,5,1675691091,2023
38.0166,37.7013,10,5.3,1675690764,2023
36.3454,36.4775,10,4.2,1675690568,2023
37.9231,37.5399,15.7,4.2,1675690395,2023
38.2874,38.3812,10,4.3,1675690337,2023
36.3959,36.3691,10,4.5,1675690299,2023
38.0367,37.3789,10.8,4.4,1675689721,2023
37.9951,36.3843,10,4.9,1675689462,2023
37.8769,37.8935,16.6,4.5,1675689242,2023
37.9077,36.5237,10,4.8,1675689147,2023
38.0104,36.6564,10,4.7,1675689116,2023
36.2061,36.2521,10,4.6,1675688961,2023
38.0778,37.3746,18.8,5,1675688865,2023
37.9553,37.261,17.9,4.5,1675688798,2023
38.0086,37.4892,16.5,4.6,1675688598,2023
38.1094,36.691,10,4.5,1675688418,2023
37.8533,36.688,12.7,4.6,1675688081,2023
38.0382,36.8659,13.9,4.3,1675687681,2023
38.0025,38.1506,15.1,4.7,1675686998,2023
38.0972,38.2339,14.5,4.9,1675686883,2023
37.9345,38.0571,16.5,4,1675686768,2023
37.8798,37.4824,16.2,4.2,1675686700,2023
38.0621,36.4541,8.2,4.4,1675686078,2023
37.9248,37.3761,17.8,4.7,1675685628,2023
38.0169,36.4016,8.3,4.4,1675685252,2023
38.0546,36.5099,8.1,6,1675684931,2023
38.0509,37.5686,15.4,4.7,1675684717,2023
38.0599,36.6805,7.1,4.3,1675684557,2023
38.016,37.7225,16.8,4.5,1675684282,2023
37.9721,36.3402,5.7,4.5,1675684204,2023
38.1471,38.0506,16.5,4.3,1675683849,2023
38.0622,36.5678,11.4,4.8,1675683581,2023
37.9417,37.351,17.7,4.5,1675683328,2023
38.1794,37.955,12,4.1,1675683044,2023
37.9264,36.9995,18.1,4.2,1675682913,2023
37.9321,38.246,13.1,4.3,1675682881,2023
38.0274,37.7493,15.6,4.1,1675682424,2023
37.8888,37.346,18.9,4.9,1675681901,2023
38.0752,36.7588,6,5.1,1675681535,2023
38.0723,36.6628,15.3,4.2,1675681478,2023
37.8259,37.4436,13.8,4.8,1675681296,2023
38.1236,38.0529,12.3,5.7,1675680690,2023
38.0084,37.7505,10,5.8,1675679758,2023
38.0302,37.9636,20.1,6,1675679208,2023
38.0235,37.203,10,7.5,1675679089,2023
37.448,36.866,10,4.3,1675676177,2023
36.8868,36.4918,10,4.6,1675675425,2023
37.7068,37.9839,10,4.5,1675675260,2023
38.054,38.2569,15.3,4.5,1675673915,2023
37.449,37.2334,10,4.8,1675673557,2023
36.6629,36.477,10,4.5,1675670506,2023
37.8608,38.086,10,4.6,1675669274,2023
36.7072,36.6722,13.4,4.6,1675667311,2023
37.6414,37.3835,10,4.8,1675666497,2023
37.483,37.1811,10,4.6,1675664789,2023
36.5684,36.0133,10,4.6,1675664770,2023
37.9912,38.4376,16.5,4.5,1675662951,2023
36.3185,36.2325,10.6,4.6,1675661793,2023
38.1466,37.9304,10,4.4,1675661483,2023
37.7548,37.9481,10,4.4,1675660970,2023
37.7637,37.9099,20.2,4.6,1675659711,2023
37.4609,37.1603,16.2,4.5,1675659365,2023
36.7176,36.4733,10,4.5,1675658877,2023
37.7907,37.4444,17,4.3,1675658387,2023
